,index,queries,topic,persona
2,3,public place human stampede,46,markus
3,4,20 or more deaths human stampede,46,markus
4,5,human stampede reports,46,markus
5,6,human stampede causes,46,markus
6,7,human stampede consequences,46,markus
7,8,human stampede prevention measures,46,markus
8,9,human stampede history,46,markus
9,10,human stampede impact society,46,markus
0,1,food stamps,47,markus
1,2,food stamp recipients,47,markus
2,3,food stamp law,47,markus
3,4,changes to food stamp law,47,markus
4,5,food stamp eligibility,47,markus
5,6,food stamp recipient increase,47,markus
6,7,eligible food stamp groups,47,markus
7,8,food stamp benefits impact,47,markus
8,9,food stamp benefits,47,markus
9,10,food stamp eligibility requirements,47,markus
0,1,Leaning Tower of Pisa,48,markus
1,2,Leaning Tower of Pisa condition,48,markus
2,3,Leaning Tower of Pisa reinforcement measures,48,markus
3,4,Leaning Tower of Pisa reinforcement success,48,markus
4,5,Leaning Tower of Pisa measurements,48,markus
5,6,Leaning Tower of Pisa stabilization efforts,48,markus
6,7,Leaning Tower of Pisa history,48,markus
7,8,Leaning Tower of Pisa architecture,48,markus
8,9,Leaning Tower of Pisa significance,48,markus
9,10,Leaning Tower of Pisa interesting facts,48,markus
0,1,college education advantage,49,markus
1,2,college education job opportunities,49,markus
2,3,college graduate hiring potential,49,markus
3,4,college graduate increased income,49,markus
4,5,U.S. college education advantages,49,markus
5,6,college attendance benefits,49,markus
6,7,college education job prospects,49,markus
7,8,college degree advantages,49,markus
8,9,college education income impact,49,markus
9,10,college education value,49,markus
