,Unnamed: 0,index,queries,topic,persona
45,5,6,new methods modify black bears,5,edith
46,6,7,scientific community speculate black bear attacks,5,edith
47,7,8,food cosmetics black bear behavior,5,edith
48,8,9,consequences black bear attacks,5,edith
49,9,10,preventive measures black bear attacks,5,edith
50,0,1,radio waves brain cancer,1,john
51,1,2,radio towers brain cancer,1,john
52,2,3,mobile phones brain cancer,1,john
53,3,4,direct association radio waves brain cancer,1,john
54,4,5,incidence brain cancer radio towers,1,john
55,5,6,incidence brain cancer mobile phones,1,john
56,6,7,incidence brain cancer radio towers mobile phones normal population,1,john
57,7,8,animal experiments radio waves brain cancer,1,john
58,8,9,statistical studies radio waves brain cancer,1,john
59,9,10,articles news items brain cancer radio towers mobile phones normal population,1,john
60,0,1,women parliament representation,2,john
61,1,2,countries mandate women legislatures,2,john
62,2,3,percentage women legislatures countries,2,john
63,3,4,decreases female representation legislatures,2,john
64,4,5,reasons lack women parliament representation,2,john
65,5,6,political power gap sexes parliaments,2,john
66,6,7,women parliament representation Third World,2,john
67,7,8,consequences lack women parliament representation,2,john
68,8,9,initiatives increase women parliament representation,2,john
69,9,10,close political power gap sexes parliaments,2,john
70,0,1,cult,3,john
71,1,2,cults,3,john
72,2,3,cult names,3,john
73,3,4,cult member lifestyles,3,john
74,4,5,cult member dress,3,john
75,5,6,cult member ultimate goal,3,john
76,6,7,cult member diet,3,john
77,7,8,cult member contribution,3,john
78,8,9,cult existence,3,john
79,9,10,cult name member activities everyday life,3,john
80,0,1,Iran-Iraq relations history,4,john
81,1,2,Iran-Iraq economic cooperation,4,john
82,2,3,Iran-Iraq military cooperation,4,john
83,3,4,Iran-Iraq religious cooperation,4,john
84,4,5,Iran-Iraq social relations,4,john
85,5,6,Iran-Iraq border control,4,john
86,6,7,Iran-Iraq minorities treatment,4,john
87,7,8,Iran-Iraq trade sanctions,4,john
88,8,9,Iran-Iraq cooperation benefits,4,john
89,9,10,Iran-Iraq cooperation drawbacks,4,john
90,0,1,black bear attack frequency,5,john
91,1,2,causes of black bear attacks,5,john
92,2,3,black bear attack attraction,5,john
93,3,4,scientific community speculation black bear attacks,5,john
94,4,5,wildlife officials control black bear attacks,5,john
95,5,6,new methods modify black bear savageness,5,john
96,6,7,common causes black bear attacks,5,john
97,7,8,prevent black bear attacks,5,john
98,8,9,consequences black bear attack,5,john
99,9,10,legal implications black bear attack,5,john
100,0,1,radio waves,1,karen
101,1,2,brain cancer,1,karen
102,2,3,radio waves association brain cancer,1,karen
103,3,4,brain cancer incidence radio towers,1,karen
104,4,5,brain cancer incidence mobile phones,1,karen
105,5,6,brain cancer incidence radio towers mobile phones,1,karen
106,6,7,radio waves effects brain cancer experiments,1,karen
107,7,8,radio waves association brain cancer statistical studies,1,karen
108,8,9,radio waves association brain cancer articles,1,karen
109,9,10,brain cancer incidence radio towers mobile phones news items,1,karen
110,0,1,women parliament representation,2,karen
111,1,2,countries mandate women legislatures,2,karen
112,2,3,female representation trend legislatures,2,karen
113,3,4,countries no women representation,2,karen
114,4,5,political power gap sexes parliaments,2,karen
115,5,6,women representation Third World,2,karen
116,6,7,reasons lack women representation parliaments,2,karen
117,7,8,consequences lack women representation parliaments,2,karen
118,8,9,benefits women representation parliaments,2,karen
119,9,10,initiatives increase women representation parliaments,2,karen
120,0,1,cult definition,3,karen
121,1,2,cults,3,karen
122,2,3,cult names,3,karen
123,3,4,cult member lifestyles,3,karen
124,4,5,cult member dress,3,karen
125,5,6,cult ultimate goal,3,karen
126,6,7,cult member diet,3,karen
127,7,8,cult member contribution,3,karen
128,8,9,cult member activities,3,karen
129,9,10,cult member daily routine,3,karen
130,0,1,Iran-Iraq relations history,4,karen
131,1,2,Iran-Iraq economic cooperation,4,karen
132,2,3,Iran-Iraq military cooperation,4,karen
133,3,4,Iran-Iraq religious cooperation,4,karen
134,4,5,Iran-Iraq social cooperation,4,karen
135,5,6,Iran-Iraq border control collaboration,4,karen
136,6,7,Iran-Iraq minorities treatment,4,karen
137,7,8,Iran-Iraq trade sanctions evasion,4,karen
138,8,9,Iran-Iraq cooperation benefits,4,karen
139,9,10,Iran-Iraq cooperation challenges,4,karen
140,0,1,black bear attacks causes,5,karen
141,1,2,black bear attacks attraction,5,karen
142,2,3,black bear attacks frequency worldwide,5,karen
143,3,4,black bear savage behavior causes,5,karen
144,4,5,wildlife officials control black bears,5,karen
145,5,6,new methods modify black bears,5,karen
146,6,7,scientific community speculation black bear attacks,5,karen
147,7,8,food cosmetics black bear behavior,5,karen
148,8,9,consequences black bear attacks humans,5,karen
149,9,10,precautions prevent black bear attacks,5,karen
150,0,1,radio waves,1,markus
151,1,2,brain cancer,1,markus
152,2,3,radio waves brain cancer association,1,markus
153,3,4,brain cancer incidence radio towers,1,markus
154,4,5,brain cancer incidence mobile phones,1,markus
155,5,6,brain cancer incidence radio towers mobile phones,1,markus
156,6,7,radio waves brain cancer experiments,1,markus
157,7,8,brain cancer incidence statistical studies radio towers mobile phones,1,markus
158,8,9,radio waves brain cancer articles,1,markus
159,9,10,brain cancer incidence news items radio towers mobile phones,1,markus
160,0,1,women parliament representation,2,markus
161,1,2,women poor parliament representation,2,markus
162,2,3,countries mandate women legislature,2,markus
163,3,4,percentage women legislature countries,2,markus
164,4,5,decreases female representation legislature,2,markus
165,5,6,political power gap Third World,2,markus
166,6,7,consequences lack women parliament representation,2,markus
167,7,8,challenges women politics,2,markus
168,8,9,benefits women parliament representation,2,markus
169,9,10,increase women parliament representation,2,markus
170,0,1,cult definition,3,markus
171,1,2,cults,3,markus
172,2,3,cult names,3,markus
173,3,4,cult member lifestyles,3,markus
174,4,5,cult member dress,3,markus
175,5,6,cult member goal attainment,3,markus
176,6,7,cult member diet,3,markus
177,7,8,cult member contribution,3,markus
178,8,9,cult member activities,3,markus
179,9,10,cult name member lifestyles,3,markus
180,0,1,Iran-Iraq relations history,4,markus
181,1,2,Iran-Iraq economic cooperation,4,markus
182,2,3,Iran-Iraq military cooperation,4,markus
183,3,4,Iran-Iraq religious cooperation,4,markus
184,4,5,Iran-Iraq social relations,4,markus
185,5,6,Iran-Iraq border control,4,markus
186,6,7,Iran-Iraq minorities treatment,4,markus
187,7,8,Iran-Iraq trade sanctions,4,markus
188,8,9,Iran-Iraq cooperation benefits,4,markus
189,9,10,Iran-Iraq cooperation challenges,4,markus
190,0,1,black bear attacks,5,markus
191,1,2,causes of black bear attacks,5,markus
192,2,3,black bear attacks on humans,5,markus
193,3,4,scientific community opinion black bear attacks,5,markus
194,4,5,possible causes black bear attacks,5,markus
195,5,6,wildlife officials control black bear attacks,5,markus
196,6,7,new methods modify black bear savageness,5,markus
197,7,8,frequency black bear attacks worldwide,5,markus
198,8,9,consequences black bear attacks,5,markus
199,9,10,prevent black bear attacks,5,markus
0,0,1,airport security,6,edith
1,1,2,airport security steps,6,edith
2,2,3,new airport security steps,6,edith
3,3,4,airport security effectiveness,6,edith
4,4,5,carry-on baggage screening,6,edith
5,5,6,baggage compartment screening,6,edith
6,6,7,passenger screening measures,6,edith
7,7,8,international flight screening measures,6,edith
8,8,9,domestic flight screening measures,6,edith
9,9,10,terrorism screening measures,6,edith
10,0,1,E-Mail abuse,7,edith
11,1,2,types of E-Mail abuse,7,edith
12,2,3,cost of E-Mail,7,edith
13,3,4,E-Mail payer,7,edith
14,4,5,desired uses of E-Mail,7,edith
15,5,6,excesses of E-Mail,7,edith
16,6,7,preventing E-Mail abuse,7,edith
17,7,8,world-wide E-Mail abuse prevention,7,edith
18,8,9,consequences of E-Mail abuse,7,edith
19,9,10,preventing E-Mail abuse methods,7,edith
20,0,1,overseas tobacco sales,8,edith
21,1,2,impact of health on U.S. tobacco sales,8,edith
22,2,3,impact of economy on U.S. tobacco sales,8,edith
23,3,4,impact of health on overseas tobacco sales,8,edith
24,4,5,impact of economy on overseas tobacco sales,8,edith
25,5,6,reasons for increase in overseas tobacco sales,8,edith
26,6,7,reasons for decrease in overseas tobacco sales,8,edith
27,7,8,role of U.S. companies in overseas tobacco sales,8,edith
28,8,9,role of foreign companies in overseas tobacco sales,8,edith
29,9,10,impact of aggressive marketing on overseas tobacco sales,8,edith
30,0,1,wildlife extinction,9,edith
31,1,2,countries preventing wildlife extinction,9,edith
32,2,3,endangered species,9,edith
33,3,4,steps to save species,9,edith
34,4,5,impact of wildlife extinction,9,edith
35,5,6,human role in wildlife extinction,9,edith
36,6,7,consequences of wildlife extinction,9,edith
37,7,8,history of wildlife extinction,9,edith
38,8,9,current trends in wildlife extinction,9,edith
39,9,10,future prospects for wildlife extinction,9,edith
40,0,1,physical disorders computer terminals,10,edith
41,1,2,common physical disorders computer terminals,10,edith
42,2,3,hazards computer terminals,10,edith
43,3,4,alleviate health problems computer terminals,10,edith
44,4,5,long-term effects computer terminals health,10,edith
45,5,6,common health problems computer terminals,10,edith
46,6,7,prevent health problems computer terminals,10,edith
47,7,8,research health effects computer terminals,10,edith
48,8,9,symptoms physical disorders computer terminals,10,edith
49,9,10,risk factors physical disorders computer terminals,10,edith
50,0,1,airport security,6,john
51,1,2,airport security steps,6,john
52,2,3,domestic vs international flight security,6,john
53,3,4,carry-on baggage screening,6,john
54,4,5,terrorism and airport security,6,john
55,5,6,additional steps for flight safety,6,john
56,6,7,enhanced security definition,6,john
57,7,8,airport security personnel,6,john
58,8,9,automated screening processes,6,john
59,9,10,effectiveness of airport security,6,john
60,0,1,E-Mail abuse examples,7,john
61,1,2,E-Mail cost,7,john
62,2,3,E-Mail payer,7,john
63,3,4,E-Mail desired use,7,john
64,4,5,E-Mail abuse prevention,7,john
65,5,6,system user E-Mail abuse,7,john
66,6,7,E-Mail abuse consequences,7,john
67,7,8,E-Mail abuse legal implications,7,john
68,8,9,E-Mail abuse ethical implications,7,john
69,9,10,consequences of not preventing E-Mail abuse,7,john
70,0,1,overseas tobacco sales,8,john
71,1,2,decreased US tobacco sales,8,john
72,2,3,increased overseas tobacco sales,8,john
73,3,4,health impact on overseas tobacco sales,8,john
74,4,5,economic impact on overseas tobacco sales,8,john
75,5,6,aggressive marketing overseas,8,john
76,6,7,foreign companies cooperating with US tobacco companies,8,john
77,7,8,economic impact of overseas tobacco sales,8,john
78,8,9,customer base for overseas tobacco sales,8,john
79,9,10,health consequences of overseas tobacco sales,8,john
80,0,1,wildlife extinction,9,john
81,1,2,countries involved in wildlife extinction,9,john
82,2,3,species affected by extinction,9,john
83,3,4,steps taken to save species,9,john
84,4,5,efforts to prevent wildlife extinction,9,john
85,5,6,most endangered species,9,john
86,6,7,causes of wildlife extinction,9,john
87,7,8,effects of wildlife extinction,9,john
88,8,9,legal implications of wildlife extinction,9,john
89,9,10,economic impacts of wildlife extinction,9,john
90,0,1,physical disorders computer terminals,10,john
91,1,2,widespread physical disorders computer terminals,10,john
92,2,3,Carpal Tunnel Syndrome,10,john
93,3,4,computer terminals Cataracts link,10,john
94,4,5,computer terminals Fatigue link,10,john
95,5,6,alleviate health problems computer terminals,10,john
96,6,7,computer terminals hazardous health,10,john
97,7,8,common physical disorders computer terminals,10,john
98,8,9,alleviate physical disorders computer terminals,10,john
99,9,10,research health effects computer terminals,10,john
100,0,1,airport security,6,karen
101,1,2,airport passenger luggage screening,6,karen
102,2,3,new airport security measures,6,karen
103,3,4,airport carry-on baggage screening,6,karen
104,4,5,airport monitoring screening devices,6,karen
105,5,6,airport extraordinary luggage screening measures,6,karen
106,6,7,effectiveness of airport passenger luggage screening,6,karen
107,7,8,effectiveness of international airport passenger luggage screening,6,karen
108,8,9,airport security concerns terrorism,6,karen
109,9,10,impact of airport security on passengers,6,karen
110,0,1,E-Mail abuse examples,7,karen
111,1,2,E-Mail abuse consequences,7,karen
112,2,3,Preventing E-Mail abuse,7,karen
113,3,4,Desired uses of E-Mail,7,karen
114,4,5,Costs of E-Mail,7,karen
115,5,6,Benefits of E-Mail,7,karen
116,6,7,E-Mail usage policies,7,karen
117,7,8,Best practices for E-Mail,7,karen
118,8,9,E-Mail abuse case studies,7,karen
119,9,10,Legal consequences E-Mail abuse,7,karen
120,0,1,overseas tobacco sales,8,karen
121,1,2,overseas tobacco sales increase decrease,8,karen
122,2,3,reason for overseas tobacco sales increase decrease,8,karen
123,3,4,health findings impact on overseas tobacco sales,8,karen
124,4,5,aggressive marketing impact on overseas tobacco sales,8,karen
125,5,6,U.S. tobacco companies selling overseas,8,karen
126,6,7,foreign companies cooperating with U.S. tobacco companies,8,karen
127,7,8,economic impact of overseas tobacco sales,8,karen
128,8,9,health factors impact on overseas tobacco sales,8,karen
129,9,10,economic factors impact on overseas tobacco sales,8,karen
130,0,1,wildlife extinction,9,karen
131,1,2,countries preventing wildlife extinction,9,karen
132,2,3,endangered species,9,karen
133,3,4,steps to save species,9,karen
134,4,5,current wildlife extinction status,9,karen
135,5,6,causes of wildlife extinction,9,karen
136,6,7,consequences of wildlife extinction,9,karen
137,7,8,successful wildlife extinction prevention,9,karen
138,8,9,unsuccessful wildlife extinction prevention,9,karen
139,9,10,human role in wildlife extinction,9,karen
140,0,1,physical disorders computer terminals,10,karen
141,1,2,widespread physical disorders computer terminals,10,karen
142,2,3,alleviate physical disorders computer terminals,10,karen
143,3,4,computer terminals carpel tunnel,10,karen
144,4,5,computer terminals cataracts,10,karen
145,5,6,computer terminals fatigue,10,karen
146,6,7,hazards computer terminals,10,karen
147,7,8,long-term effects computer terminals,10,karen
148,8,9,best practices computer terminals physical disorders,10,karen
149,9,10,ergonomic solutions physical disorders computer terminals,10,karen
150,0,1,airport security,6,markus
151,1,2,airport security steps,6,markus
152,2,3,domestic vs international flight security,6,markus
153,3,4,new steps for flight safety,6,markus
154,4,5,effectiveness of airport security,6,markus
155,5,6,terrorism and airport security,6,markus
156,6,7,carry-on baggage screening,6,markus
157,7,8,extraordinary measures for baggage compartment screening,6,markus
158,8,9,monitoring and screening devices in airport security,6,markus
159,9,10,whole body imaging impact on airport security,6,markus
160,0,1,what is email,7,markus
161,1,2,email abuse examples,7,markus
162,2,3,who pays for email,7,markus
163,3,4,desired email uses,7,markus
164,4,5,prevent email abuse,7,markus
165,5,6,world-wide email abuse prevention,7,markus
166,6,7,email abuse consequences,7,markus
167,7,8,detect email abuse,7,markus
168,8,9,report email abuse,7,markus
169,9,10,best practices email usage,7,markus
170,0,1,overseas tobacco sales,8,markus
171,1,2,health impact on U.S. tobacco sales,8,markus
172,2,3,economic impact of U.S. tobacco sales,8,markus
173,3,4,impact of health and economic factors on overseas tobacco sales,8,markus
174,4,5,aggressive marketing on overseas tobacco sales,8,markus
175,5,6,foreign companies cooperating with U.S. tobacco companies,8,markus
176,6,7,health impact of overseas tobacco sales,8,markus
177,7,8,economic impact of overseas tobacco sales,8,markus
178,8,9,reasons for increase or decrease in overseas tobacco sales,8,markus
179,9,10,consequences of overseas tobacco sales,8,markus
180,0,1,wildlife extinction,9,markus
181,1,2,countries preventing wildlife extinction,9,markus
182,2,3,endangered species,9,markus
183,3,4,steps to save species,9,markus
184,4,5,causes of wildlife extinction,9,markus
185,5,6,impact of wildlife extinction,9,markus
186,6,7,consequences of not preventing wildlife extinction,9,markus
187,7,8,successful cases of preventing wildlife extinction,9,markus
188,8,9,challenges of preventing wildlife extinction,9,markus
189,9,10,role of humans in wildlife extinction,9,markus
190,0,1,computer terminal health risks,10,markus
191,1,2,physical disorders computer terminals,10,markus
192,2,3,computer terminal health problems widespread,10,markus
193,3,4,alleviate computer terminal health problems,10,markus
194,4,5,what is carpel tunnel,10,markus
195,5,6,what is cataracts,10,markus
196,6,7,what is fatigue,10,markus
197,7,8,prevent carpel tunnel,10,markus
198,8,9,prevent cataracts,10,markus
199,9,10,prevent fatigue,10,markus
0,0,1,Antarctica,11,edith
1,1,2,systematic exploration,11,edith
2,2,3,scientific investigations,11,edith
3,3,4,seismology,11,edith
4,4,5,ionospheric physics,11,edith
5,5,6,economic development,11,edith
6,6,7,research in Antarctica,11,edith
7,7,8,planned research in Antarctica,11,edith
8,8,9,mineral mining ban Antarctica,11,edith
9,9,10,impact mineral mining Antarctica,11,edith
10,0,1,journalist risks,12,edith
11,1,2,journalist killed instances,12,edith
12,2,3,journalist arrested instances,12,edith
13,3,4,journalist taken hostage instances,12,edith
14,4,5,nature of journalist risks,12,edith
15,5,6,cause of journalist risks,12,edith
16,6,7,impact of journalist risks,12,edith
17,7,8,mitigating journalist risks,12,edith
18,8,9,history of journalist risks,12,edith
19,9,10,current journalist risks,12,edith
20,0,1,ocean remote sensing,13,edith
21,1,2,space-borne ocean remote sensing,13,edith
22,2,3,ocean remote sensing development,13,edith
23,3,4,ocean remote sensing application,13,edith
24,4,5,oceanography,13,edith
25,5,6,seabed prospecting,13,edith
26,6,7,marine-science,13,edith
27,7,8,satellite remote sensing,13,edith
28,8,9,synthetic aperture radar,13,edith
29,9,10,SAR relevance ocean remote sensing,13,edith
30,0,1,postmenopausal estrogen,14,edith
31,1,2,effects of estrogen,14,edith
32,2,3,estrogen use in Britain,14,edith
33,3,4,benefits of estrogen,14,edith
34,4,5,risks of estrogen,14,edith
35,5,6,hormone replacement therapy,14,edith
36,6,7,estrogen suppressing drugs development,14,edith
37,7,8,estrogen suppressing drugs marketing,14,edith
38,8,9,estrogen suppressing drugs side effects,14,edith
39,9,10,alternatives to estrogen suppressing drugs,14,edith
40,0,1,human smuggling,15,edith
41,1,2,incidents of human smuggling,15,edith
42,2,3,monetary gain from human smuggling,15,edith
43,3,4,willing participants in human smuggling,15,edith
44,4,5,consequences of human smuggling,15,edith
45,5,6,legal implications of human smuggling,15,edith
46,6,7,history of human smuggling,15,edith
47,7,8,impact of human smuggling on society,15,edith
48,8,9,law enforcement and human smuggling,15,edith
49,9,10,common routes for human smuggling,15,edith
50,0,1,Antarctica exploration history,11,john
51,1,2,Antarctica scientific investigations,11,john
52,2,3,Antarctica systematic explorations,11,john
53,3,4,Antarctica current research,11,john
54,4,5,Antarctica future research,11,john
55,5,6,Antarctica economic development potential,11,john
56,6,7,Antarctica mineral mining policy,11,john
57,7,8,Antarctica tourism impact,11,john
58,8,9,Antarctica disrupting scientific experiments consequences,11,john
59,9,10,Antarctica specific scientific experiments disrupted,11,john
60,0,1,journalist risks,12,john
61,1,2,common journalist risks,12,john
62,2,3,likelihood of journalist risks,12,john
63,3,4,reasons for journalist risks,12,john
64,4,5,consequences of journalist risks,12,john
65,5,6,protecting journalists,12,john
66,6,7,legal framework for journalists,12,john
67,7,8,government role in protecting journalists,12,john
68,8,9,media role in protecting journalists,12,john
69,9,10,impact of journalist risks,12,john
70,0,1,ocean remote sensing,13,john
71,1,2,space-borne ocean remote sensing,13,john
72,2,3,ocean remote sensing development,13,john
73,3,4,ocean remote sensing in oceanography,13,john
74,4,5,ocean remote sensing in seabed prospecting and mining,13,john
75,5,6,ocean remote sensing in marine-science activity,13,john
76,6,7,synthetic aperture radar,13,john
77,7,8,SAR in ocean remote sensing,13,john
78,8,9,space-borne ocean remote sensing development documents,13,john
79,9,10,space-borne ocean remote sensing application in oceanography seabed prospecting and mining marine-science activity documents,13,john
80,0,1,postmenopausal estrogen,14,john
81,1,2,estrogen use in Britain,14,john
82,2,3,benefits of estrogen,14,john
83,3,4,risks of estrogen,14,john
84,4,5,hormone replacement therapy,14,john
85,5,6,estrogen suppressing drug development,14,john
86,6,7,estrogen suppressing drug marketing,14,john
87,7,8,estrogen suppressing drug side effects,14,john
88,8,9,alternatives to estrogen,14,john
89,9,10,regulations for estrogen use,14,john
90,0,1,human smuggling,15,john
91,1,2,incidents of human smuggling,15,john
92,2,3,monetary gain in human smuggling,15,john
93,3,4,consequences of human smuggling,15,john
94,4,5,willing participants in human smuggling,15,john
95,5,6,legal implications of human smuggling,15,john
96,6,7,penalties for human smuggling,15,john
97,7,8,impact of human smuggling,15,john
98,8,9,methods of human smuggling,15,john
99,9,10,history of human smuggling,15,john
100,0,1,Antarctica exploration history,11,karen
101,1,2,Antarctica scientific investigations,11,karen
102,2,3,current Antarctica exploration state,11,karen
103,3,4,planned Antarctica explorations,11,karen
104,4,5,Antarctica seismology role,11,karen
105,5,6,Antarctica ionospheric physics role,11,karen
106,6,7,Antarctica economic developments,11,karen
107,7,8,Antarctica current research,11,karen
108,8,9,Antarctica mineral mining ban,11,karen
109,9,10,Antarctica disrupting experiments consequences,11,karen
110,0,1,journalist risks,12,karen
111,1,2,journalist killed instances,12,karen
112,2,3,journalist arrested instances,12,karen
113,3,4,journalist taken hostage instances,12,karen
114,4,5,journalist risk reasons,12,karen
115,5,6,journalist protection methods,12,karen
116,6,7,journalist risk consequences,12,karen
117,7,8,journalist risk impact society,12,karen
118,8,9,journalist work targeting examples,12,karen
119,9,10,journalist risk history,12,karen
120,0,1,ocean remote sensing,13,karen
121,1,2,space-borne ocean remote sensing,13,karen
122,2,3,ocean remote sensing development,13,karen
123,3,4,ocean remote sensing application,13,karen
124,4,5,oceanography remote sensing,13,karen
125,5,6,seabed prospecting remote sensing,13,karen
126,6,7,mining remote sensing,13,karen
127,7,8,marine-science remote sensing,13,karen
128,8,9,synthetic aperture radar,13,karen
129,9,10,SAR in ocean remote sensing,13,karen
130,0,1,estrogen,14,karen
131,1,2,hormone replacement therapy,14,karen
132,2,3,postmenopausal estrogen,14,karen
133,3,4,use of estrogen in Britain,14,karen
134,4,5,estrogen suppressing drugs,14,karen
135,5,6,development of estrogen suppressing drugs in Britain,14,karen
136,6,7,marketing of estrogen suppressing drugs in Britain,14,karen
137,7,8,difference between HRT and estrogen suppressing drugs,14,karen
138,8,9,benefits of postmenopausal estrogen,14,karen
139,9,10,risks of postmenopausal estrogen,14,karen
140,0,1,human smuggling,15,karen
141,1,2,incidents of human smuggling,15,karen
142,2,3,monetary gain from human smuggling,15,karen
143,3,4,willing participants in human smuggling,15,karen
144,4,5,consequences of human smuggling,15,karen
145,5,6,legal implications of human smuggling,15,karen
146,6,7,routes of human smuggling,15,karen
147,7,8,methods of human smuggling,15,karen
148,8,9,organizations combating human smuggling,15,karen
149,9,10,preventing human smuggling,15,karen
150,0,1,Antarctica,11,markus
151,1,2,systematic exploration,11,markus
152,2,3,scientific investigations,11,markus
153,3,4,seismology,11,markus
154,4,5,ionospheric physics,11,markus
155,5,6,economic development,11,markus
156,6,7,current research Antarctica,11,markus
157,7,8,future research Antarctica,11,markus
158,8,9,mineral mining ban Antarctica,11,markus
159,9,10,tourism impact Antarctica,11,markus
160,0,1,what is a journalist,12,markus
161,1,2,journalist risks,12,markus
162,2,3,journalists killed instances,12,markus
163,3,4,journalists arrested instances,12,markus
164,4,5,journalists taken hostage instances,12,markus
165,5,6,journalist work performance,12,markus
166,6,7,dangerous countries for journalists,12,markus
167,7,8,reasons for journalist risks,12,markus
168,8,9,journalist protection measures,12,markus
169,9,10,impact of journalist risks,12,markus
170,0,1,ocean remote sensing,13,markus
171,1,2,space-borne ocean remote sensing,13,markus
172,2,3,ocean remote sensing development,13,markus
173,3,4,ocean remote sensing application,13,markus
174,4,5,oceanography,13,markus
175,5,6,seabed prospecting,13,markus
176,6,7,marine-science,13,markus
177,7,8,synthetic aperture radar,13,markus
178,8,9,SAR relevance ocean remote sensing,13,markus
179,9,10,ocean remote sensing benefits,13,markus
180,0,1,postmenopausal estrogen,14,markus
181,1,2,estrogen use in Britain,14,markus
182,2,3,benefits of estrogen Britain,14,markus
183,3,4,risks of estrogen Britain,14,markus
184,4,5,hormone replacement therapy,14,markus
185,5,6,UK estrogen suppressing drugs,14,markus
186,6,7,marketing estrogen suppressing drugs Britain,14,markus
187,7,8,estrogen suppressing drugs side effects,14,markus
188,8,9,effectiveness estrogen suppressing drugs,14,markus
189,9,10,alternatives estrogen suppressing drugs,14,markus
190,0,1,human smuggling,15,markus
191,1,2,incidents of human smuggling,15,markus
192,2,3,monetary gain from human smuggling,15,markus
193,3,4,willing participants in human smuggling,15,markus
194,4,5,consequences of human smuggling,15,markus
195,5,6,legal implications of human smuggling,15,markus
196,6,7,methods of human smuggling,15,markus
197,7,8,countries involved in human smuggling,15,markus
198,8,9,impact of human smuggling on society,15,markus
199,9,10,measures to prevent human smuggling,15,markus
0,0,1,transportation tunnel disasters,16,edith
1,1,2,examples of tunnel disasters,16,edith
2,2,3,causes of tunnel disasters,16,edith
3,3,4,effects of tunnel disasters,16,edith
4,4,5,common tunnel disasters,16,edith
5,5,6,history of tunnel disasters,16,edith
6,6,7,safety measures for tunnel disasters,16,edith
7,7,8,legal implications of tunnel disasters,16,edith
8,8,9,economic impacts of tunnel disasters,16,edith
9,9,10,environmental impacts of tunnel disasters,16,edith
10,0,1,modern piracy,17,edith
11,1,2,recent piracy instances,17,edith
12,2,3,definition of piracy,17,edith
13,3,4,piracy vs legal taking,17,edith
14,4,5,consequences of piracy,17,edith
15,5,6,history of piracy,17,edith
16,6,7,causes of piracy,17,edith
17,7,8,impact of piracy economy,17,edith
18,8,9,international response piracy,17,edith
19,9,10,methods of piracy boarding,17,edith
20,0,1,Native American casino gambling,18,edith
21,1,2,social implications casino gambling,18,edith
22,2,3,Native American casino gambling local economies,18,edith
23,3,4,Native American casino gambling Native American economies,18,edith
24,4,5,legal aspects tribal autonomy casino gambling,18,edith
25,5,6,Native American casino gambling growth,18,edith
26,6,7,benefits Native American casino gambling,18,edith
27,7,8,drawbacks Native American casino gambling,18,edith
28,8,9,history Native American casino gambling,18,edith
29,9,10,future Native American casino gambling,18,edith
30,0,1,hydrogen energy,19,edith
31,1,2,controlled hydrogen fusion,19,edith
32,2,3,feasibility of hydrogen energy,19,edith
33,3,4,status of hydrogen research,19,edith
34,4,5,progress in hydrogen research,19,edith
35,5,6,hydrogen fuel,19,edith
36,6,7,hydrogen fuel engines,19,edith
37,7,8,benefits of hydrogen energy,19,edith
38,8,9,drawbacks of hydrogen energy,19,edith
39,9,10,challenges in hydrogen technology development,19,edith
40,0,1,what is the euro,20,edith
